city,date,fare,ride_id
Sarabury,1/16/16 13:49,38.35,5403689035038
South Roy,1/2/16 18:42,17.49,4036272335942
Wiseborough,1/21/16 17:35,44.18,3645042422587
Spencertown,7/31/16 14:53,6.87,2242596575892
Nguyenbury,7/9/16 4:42,6.28,1543057793673
New Jeffrey,2/22/16 18:36,36.01,9757888452346
Port Johnstad,6/7/16 2:39,17.15,4352278259335
Jacobfort,9/20/16 20:58,22.98,1500221409082
Travisville,1/15/16 17:32,27.39,850152768361
Sandymouth,11/16/16 7:27,21.61,2389035050524
New Andreamouth,4/11/16 7:20,7.72,9992929847990
New Christine,9/13/16 15:06,24.89,7918411468537
Stewartview,3/29/16 5:15,23.88,6778235889588
Rodriguezburgh,9/5/16 5:20,4.54,9650770953139
West Sydneyhaven,8/2/16 21:18,12.87,7994760397230
Swansonbury,7/11/16 18:42,39.3,744481862626
Lisatown,7/5/16 18:09,5.82,6370359473201
East Erin,11/3/16 1:03,7.51,4744239092530
Port Martinberg,1/6/16 17:11,8.66,7298562820881
Wiseborough,9/12/16 18:43,26.83,9304728540000
Edwardsbury,2/27/16 3:55,20.17,8514523868075
Jacobfort,6/12/16 17:01,34.47,4135673527977
Pamelahaven,3/26/16 12:56,36.43,3015329826849
Fosterside,8/12/16 11:52,28.08,133077693483
Jacobfort,9/17/16 12:38,38.25,2182376146051
West Sydneyhaven,8/23/16 14:49,36.12,5885997568611
West Alexis,1/16/16 0:33,26.62,1574788996743
Carrollfort,6/24/16 20:11,6.45,1092683495142
New David,1/12/16 20:48,38.68,5229089333754
Stewartview,10/15/16 5:26,11.74,8402784599831
Williamshire,6/22/16 7:53,39.81,5322918326146
Spencertown,7/12/16 2:52,31.39,754749022068
Torresshire,10/29/16 12:28,23.5,6168304478087
New Aaron,8/12/16 17:14,34.63,6249037081192
Kelseyland,8/19/16 4:27,5.51,6246006544795
Spencertown,6/13/16 3:01,25.91,7414420703015
Williamshire,3/22/16 6:49,5.78,4026457009379
Lake Sarashire,7/16/16 2:33,34.69,7536776262746
Swansonbury,9/17/16 15:52,29.95,5575845447570
South Roy,12/3/16 8:39,32.88,7098916182845
